Genes,Header,Length
ANGEL2,NP_653168,544
ANTKMT,NP_076422,235
APEX1,NP_542380,318
APOO,NP_077027,198
APOOL,NP_940852,268
ARF5,NP_001653,180
ARG2,NP_001163,354
ARL2,NP_001658,184
ARMC10,NP_114111,343
ARMCX1,NP_057692,453
ARMCX2,NP_001269160,632
ARMCX3,NP_808817,379
ARMCX6,NP_001171697,300
ATAD1,NP_116199,361
ATAD3A,NP_060658,634
ATAD3B,NP_114127,648
ATP23,NP_150592,246
ATP5F1A,NP_004037,553
ATP5F1B,NP_001677,529
ATP5F1C,NP_001001973,298
ATP5F1D,NP_001678,168
ATP5F1E,NP_008817,51
ATP5IF1,NP_057395,106
ATP5MC1,NP_001002027,136
ATP5MC3,NP_001680,142
ATP5MD,NP_001193356,58
ATP5ME,NP_009031,69
ATP5MF,NP_004880,94
ATP5MG,NP_006467,103
ATP5MPL,NP_004885,58
ATP5PB,NP_001679,256
ATP5PD,NP_006347,161
ATP5PF,NP_001676,108
ATP5PO,NP_001688,213
ATPAF2,NP_663729,289
ATPSCKMT,NP_954584,233
AUH,NP_001689,339
AURKAIP1,NP_060370,199
BAD,NP_004313,168
BAK1,NP_001179,211
BAX,NP_620116,192
BBC3,NP_001120712,261
BCAT2,NP_001181,392
BCKDHA,NP_000700,445
BCKDHB,NP_000047,392
BCKDK,NP_005872,412
BCL2,NP_000624,239
BCL2A1,NP_004040,175
BCL2L1,NP_612815,233
BCL2L10,NP_065129,204
BCL2L11,NP_619527,198
BCL2L13,NP_056182,485
BCS1L,NP_004319,419
BDH1,NP_004042,343
BID,NP_001231496,195
BIK,NP_001188,160
BLOC1S1,NP_001478,153
BNIP3L,NP_004322,219
BOK,NP_115904,212
BOLA1,NP_057158,137
BOLA3,NP_997717,107
BPHL,NP_004323,291
C12orf65,NP_689482,166
C15orf48,NP_922946,83
C15orf61,NP_001137408,157
C16orf91,NP_001258980,132
C1QBP,NP_001203,282
C2orf69,NP_710156,385
C5orf63,NP_001157951,138
C6orf136,NP_001103408,315
C8orf82,NP_001001795,216
CA5A,NP_001730,305
CA5B,NP_009151,317
CARS2,NP_078813,564
CASP3,NP_004337,277
CASP8,NP_203519,479
CASP9,NP_001220,416
CAT,NP_001743,527
CBR3,NP_001227,277
CBR4,NP_116172,237
CCDC127,NP_660308,260
CCDC51,NP_078937,411
CCDC58,NP_001017928,144
CCDC90B,NP_068597,254
CEP89,NP_116205,783
CHCHD1,NP_976043,118
CHCHD10,NP_998885,142
CHCHD2,NP_057223,151
CHCHD3,NP_060282,227
CHCHD4,NP_001091972,142
CHCHD5,NP_115685,110
CHCHD6,NP_115719,235
CHCHD7,NP_001011671,85
CHDH,NP_060867,594
CHPT1,NP_064629,406
CISD1,NP_060934,108
CISD3,NP_001129970,127
CKMT1A,NP_001015001,417
CKMT1B,NP_066270,417
CKMT2,NP_001093206,419
CLPB,NP_110440,707
CLPP,NP_006003,277
CLPX,NP_006651,633
CLYBL,NP_996531,340
CMC1,NP_872329,106
CMC2,NP_064573,79
CMC4,NP_001018024,68
CMPK2,NP_997198,449
COA1,NP_060694,146
COA3,NP_001035521,106
COA4,NP_057649,87
COA5,NP_001008216,74
COA6,NP_001013003,125
COA7,NP_075565,231
COA8,NP_115750,206
COASY,NP_001035994,564
COMT,NP_001128634,271
COMTD1,NP_653190,262
COQ10A,NP_653177,247
COQ10B,NP_079423,238
COQ3,NP_059117,369
COQ5,NP_115690,327
COQ6,NP_872282,468
COQ7,NP_057222,217
COQ8A,NP_064632,647
COQ8B,NP_079152,544
COQ9,NP_064708,318
COX10,NP_001294,443
COX11,NP_004366,276
COX14,NP_001244063,57
COX15,NP_510870,410
COX16,NP_057552,106
COX17,NP_005685,63
COX18,NP_776188,333
COX19,NP_001026788,90
COX20,NP_932342,118
COX4I1,NP_001852,169
COX4I2,NP_115998,171
COX5A,NP_004246,150
COX5B,NP_001853,129
COX6A1,NP_004364,109
COX6A2,NP_005196,97
COX6B1,NP_001854,86
COX6B2,NP_653214,88
COX6C,NP_004365,75
COX7A1,NP_001855,79
COX7A2L,NP_004709,114
COX7B,NP_001857,80
COX7B2,NP_570972,81
COX7C,NP_001858,63
COX8A,NP_004065,69
COX8C,NP_892016,72
CPOX,NP_000088,454
CPS1,NP_001866,1500
CPT1A,NP_001867,773
CPT1B,NP_004368,772
CPT1C,NP_689572,803
CPT2,NP_000089,658
CRLS1,NP_061968,301
CROT,NP_066974,612
CRY1,NP_004066,586
CRYZ,NP_001880,329
CS,NP_004068,466
CSKMT,NP_001036694,240
CYB5B,NP_085056,150
CYB5R3,NP_000389,301
CYCS,NP_061820,105
CYP11A1,NP_000772,521
CYP11B1,NP_000488,503
CYP11B2,NP_000489,503
CYP24A1,NP_000773,514
CYP27A1,NP_000775,531
CYP27B1,NP_000776,508
D2HGDH,NP_689996,521
DAP3,NP_004623,398
DARS2,NP_060592,645
DBI,NP_001073331,87
DBT,NP_001909,482
DCAKD,NP_001122103,231
DCXR,NP_057370,244
DDX28,NP_060850,540
DECR1,NP_001350,335
DELE1,NP_001136075,515
DGLUCY,NP_001273400,616
DGUOK,NP_550438,277
DHODH,NP_001352,395
DHRS1,NP_001129522,313
DHRS2,NP_005785,280
DHRS4,NP_066284,278
DHRS7B,NP_056325,325
DHX30,NP_619520,1194
DIABLO,NP_063940,239
DLAT,NP_001922,647
DLD,NP_000099,509
DLST,NP_001924,453
DMAC2,NP_060505,257
DMAC2L,NP_001003803,215
DMGDH,NP_037523,866
DMPK,NP_004400,629
DNA2,NP_001073918,1060
DNAJA3,NP_005138,480
DNAJC11,NP_060668,559
DNAJC15,NP_037370,150
DNAJC19,NP_660304,116
DNAJC28,NP_060303,388
DNAJC30,NP_115693,226
DNAJC4,NP_005519,241
DNLZ,NP_001074318,178
DNM1L,NP_036192,736
DTYMK,NP_036277,212
DUS2,NP_060273,493
DUT,NP_001020419,252
EARS2,NP_001077083,523
ECH1,NP_001389,328
ECHDC1,NP_001132982,307
ECHDC2,NP_001185890,292
ECHS1,NP_004083,290
ECI1,NP_001910,302
ECI2,NP_996667,394
ECSIT,NP_057665,431
EFHD1,NP_079478,239
EHHADH,NP_001957,723
ELAC2,NP_060597,826
ENDOG,NP_004426,297
EPHX2,NP_001970,555
ERAL1,NP_005693,437
ETFA,NP_000117,333
ETFB,NP_001976,255
ETFBKMT,NP_001129335,262
ETFDH,NP_004444,617
ETFRF1,NP_001001660,90
ETHE1,NP_055112,254
EXD2,NP_001180289,621
EXOG,NP_005098,368
FABP1,NP_001434,127
FAHD1,NP_112485,224
FAHD2A,NP_057128,314
FAM136A,NP_116211,138
FAM162A,NP_055182,154
FAM210A,NP_689565,272
FAM210B,NP_543011,192
FARS2,NP_006558,451
FASN,NP_004095,2511
FASTK,NP_006703,549
FASTKD1,NP_078898,847
FASTKD2,NP_001129666,710
FASTKD3,NP_076996,662
FASTKD5,NP_068598,764
FBXL4,NP_036292,621
FDPS,NP_001995,419
FDX1,NP_004100,184
FDXR,NP_077728,491
FECH,NP_000131,423
FH,NP_000134,510
FHIT,NP_002003,147
FIS1,NP_057152,152
FKBP10,NP_068758,582
FLAD1,NP_079483,587
FMC1,NP_932068,113
FOXRED1,NP_060017,486
FPGS,NP_004948,587
FTH1,NP_002023,183
FTMT,NP_803431,242
FUNDC1,NP_776155,155
FUNDC2,NP_076423,189
FXN,NP_000135,210
GADD45GIP1,NP_443082,222
GARS1,NP_002038,739
GATB,NP_004555,557
GATC,NP_789788,136
GATM,NP_001473,423
GCAT,NP_055106,419
GCDH,NP_000150,438
GCSH,NP_004474,173
GDAP1,NP_061845,358
GFER,NP_005253,205
GFM1,NP_079272,751
GFM2,NP_115756,779
GHITM,NP_055209,345
GLDC,NP_000161,1020
GLRX2,NP_932066,164
GLRX5,NP_057501,157
GLS,NP_055720,669
GLS2,NP_037399,602
GLUD1,NP_005262,558
GLUD2,NP_036216,558
GLYAT,NP_964011,296
GLYCTK,NP_660305,523
GOLPH3,NP_071413,298
GOT2,NP_002071,430
GPAM,NP_065969,828
GPAT2,NP_997211,795
GPD2,NP_001076581,727
GPT2,NP_597700,523
GRHPR,NP_036335,328
GRPEL1,NP_079472,217
GRPEL2,NP_689620,225
GSR,NP_000628,522
GSTK1,NP_057001,226
GTPBP10,NP_149098,387
GTPBP3,NP_116009,492
GUF1,NP_068746,669
GUK1,NP_001229768,197
HADHA,NP_000173,763
HADHB,NP_000174,474
HAGH,NP_005317,308
HAO2,NP_057611,351
HARS2,NP_036340,506
HCCS,NP_001116080,268
HDHD3,NP_112496,251
HDHD5,NP_149061,423
HEBP1,NP_057071,189
HEMK1,NP_057257,338
HIBADH,NP_689953,336
HIBCH,NP_055177,386
HIGD1A,NP_054775,93
HIGD2A,NP_620175,106
HINT1,NP_005331,126
HINT2,NP_115982,163
HINT3,NP_612638,182
HMGCL,NP_000182,325
HMGCS2,NP_005509,508
HOGA1,NP_612422,327
HPDL,NP_116145,371
HSCB,NP_741999,235
HSD17B10,NP_004484,261
HSD17B4,NP_000405,736
HSD17B8,NP_055049,261
HSDL1,NP_113651,330
HSDL2,NP_115679,418
HSPA9,NP_004125,679
HSPD1,NP_002147,573
HSPE1,NP_002148,102
HTATIP2,NP_001091991,242
HTD2,NP_001335641,168
HTRA2,NP_037379,458
IARS2,NP_060530,1012
IBA57,NP_001010867,356
IDE,NP_004960,1019
IDH2,NP_002159,452
IDH3A,NP_005521,366
IDH3B,NP_008830,385
IDH3G,NP_004126,393
IFI27,NP_001123552,122
IMMP1L,NP_659418,166
IMMP2L,NP_001231535,175
IMMT,NP_006830,758
ISCA1,NP_112202,129
ISCA2,NP_919255,154
ISCU,NP_998760,167
ISOC2,NP_001129673,205
IVD,NP_002216,426
KARS1,NP_005539,597
KMO,NP_003670,486
KYAT3,NP_001008661,454
L2HGDH,NP_079160,463
LACTB,NP_116246,547
LACTB2,NP_057111,288
LAP3,NP_056991,519
LARS2,NP_056155,903
LDHAL6B,NP_149972,381
LDHB,NP_002291,334
LDHD,NP_705690,507
LETM1,NP_036450,739
LETM2,NP_001273748,491
LETMD1,NP_056231,360
LIAS,NP_006850,372
LIG3,NP_039269,1009
LIPT1,NP_660200,373
LIPT2,NP_001138341,231
LONP1,NP_004784,959
LRPPRC,NP_573566,1394
LYPLA1,NP_006321,230
LYRM1,NP_065157,122
LYRM2,NP_065199,88
LYRM4,NP_065141,91
LYRM7,NP_859056,104
LYRM9,NP_001070148,78
MACROD1,NP_054786,325
MAIP1,NP_078796,291
MALSU1,NP_612455,234
MAOA,NP_000231,527
MAOB,NP_000889,520
MARCHF5,NP_060294,278
MARS2,NP_612404,593
MAVS,NP_065797,540
MCAT,NP_775738,390
MCCC1,NP_064551,725
MCCC2,NP_071415,563
MCCD1,NP_001011700,119
MCEE,NP_115990,176
MCL1,NP_068779,350
MCRIP2,NP_612427,160
MCU,NP_612366,351
MCUB,NP_060388,336
MCUR1,NP_001026883,359
MDH2,NP_005909,338
ME2,NP_002387,584
ME3,NP_001014811,604
METAP1D,NP_954697,335
METTL15,NP_001107000,407
METTL17,NP_073571,456
METTL4,NP_073751,472
METTL5,NP_054887,209
MFF,NP_064579,342
MFN1,NP_284941,741
MFN2,NP_055689,757
MGARP,NP_116012,240
MGME1,NP_443097,344
MGST1,NP_064696,155
MGST3,NP_004519,152
MICOS10,NP_001027535,78
MICOS13,NP_991330,118
MICU1,NP_001182447,476
MICU2,NP_689939,434
MICU3,NP_859074,530
MIEF1,NP_061881,463
MIEF2,NP_631901,454
MIGA1,NP_940951,632
MIGA2,NP_116198,593
MLYCD,NP_036345,493
MMAA,NP_758454,418
MMAB,NP_443077,250
MMADHC,NP_056517,296
MMUT,NP_000246,750
MPC1,NP_057182,109
MPC1L,NP_001182451,136
MPC2,NP_056230,127
MPST,NP_001013454,297
MPV17,NP_002428,176
MPV17L,NP_001121895,196
MPV17L2,NP_116072,206
MRM1,NP_079140,353
MRM2,NP_037525,246
MRM3,NP_060616,420
MRPL1,NP_064621,325
MRPL10,NP_660298,261
MRPL11,NP_057134,192
MRPL12,NP_002940,198
MRPL13,NP_054797,178
MRPL14,NP_115487,145
MRPL15,NP_054894,296
MRPL16,NP_060310,251
MRPL17,NP_071344,175
MRPL18,NP_054880,180
MRPL19,NP_055578,292
MRPL2,NP_057034,305
MRPL20,NP_060441,149
MRPL21,NP_852615,205
MRPL22,NP_054899,206
MRPL23,NP_066957,153
MRPL24,NP_078816,216
MRPL27,NP_057588,148
MRPL28,NP_006419,256
MRPL3,NP_009139,348
MRPL30,NP_660213,161
MRPL32,NP_114109,188
MRPL33,NP_004882,65
MRPL34,NP_076426,92
MRPL35,NP_057706,188
MRPL36,NP_115868,103
MRPL37,NP_057575,423
MRPL38,NP_115867,380
MRPL4,NP_057040,311
MRPL40,NP_003767,206
MRPL41,NP_115866,137
MRPL42,NP_054769,142
MRPL43,NP_789762,215
MRPL44,NP_075066,332
MRPL45,NP_115727,306
MRPL46,NP_071446,279
MRPL47,NP_065142,250
MRPL48,NP_057139,212
MRPL49,NP_004918,166
MRPL50,NP_061924,158
MRPL51,NP_057581,128
MRPL52,NP_848026,123
MRPL53,NP_444278,112
MRPL54,NP_758455,138
MRPL55,NP_852121,128
MRPL57,NP_076931,102
MRPL58,NP_001536,206
MRPL9,NP_113608,267
MRPS10,NP_060611,201
MRPS11,NP_073750,194
MRPS12,NP_203526,138
MRPS14,NP_071383,128
MRPS15,NP_112570,257
MRPS16,NP_057149,137
MRPS17,NP_057053,130
MRPS18A,NP_060605,196
MRPS18B,NP_054765,258
MRPS18C,NP_057151,142
MRPS2,NP_057118,296
MRPS22,NP_064576,360
MRPS23,NP_057154,190
MRPS24,NP_114403,167
MRPS25,NP_071942,173
MRPS26,NP_110438,205
MRPS27,NP_055899,414
MRPS28,NP_054737,187
MRPS30,NP_057724,439
MRPS31,NP_005821,395
MRPS33,NP_057155,106
MRPS34,NP_076425,218
MRPS35,NP_068593,323
MRPS36,NP_150597,103
MRPS5,NP_114108,430
MRPS6,NP_115865,125
MRPS7,NP_057055,242
MRPS9,NP_872578,396
MRRF,NP_620132,262
MRS2,NP_065713,443
MSRA,NP_036463,235
MSRB2,NP_036360,182
MSRB3,NP_932346,192
MTARC1,NP_073583,337
MTARC2,NP_060368,335
MT-ATP6,YP_003024031,226
MT-ATP8,YP_003024030,68
MTCH1,NP_001258570,389
MTCH2,NP_055157,303
MT-CO1,YP_003024028,513
MT-CO2,YP_003024029,227
MT-CO3,YP_003024032,261
MT-CYB,YP_003024038,380
MTERF1,NP_008911,399
MTERF2,NP_079474,385
MTERF3,NP_057026,417
MTERF4,NP_872307,381
MTFMT,NP_640335,389
MTFP1,NP_057582,166
MTFR1,NP_055452,333
MTFR1L,NP_001093096,292
MTFR2,NP_001092756,385
MTG1,NP_612393,334
MTG2,NP_056481,406
MTHFD1L,NP_056255,978
MTHFD2,NP_006627,350
MTHFD2L,NP_001138450,347
MTHFS,NP_006432,203
MTIF2,NP_002444,727
MTIF3,NP_001159734,278
MT-ND1,YP_003024026,318
MT-ND2,YP_003024027,347
MT-ND3,YP_003024033,115
MT-ND4,YP_003024035,459
MT-ND4L,YP_003024034,98
MT-ND5,YP_003024036,603
MT-ND6,YP_003024037,174
MTO1,NP_598400,717
MTPAP,NP_060579,582
MTRES1,NP_001135940,240
MTRF1,NP_004285,445
MTRF1L,NP_061914,380
MTX2,NP_006545,263
MUL1,NP_078820,352
MUTYH,NP_036354,546
MYO19,NP_001157207,970
NADK2,NP_001078880,442
NAGS,NP_694551,534
NARS2,NP_078954,477
NAT8L,NP_848652,302
NAXD,NP_001229810,347
NAXE,NP_658985,288
NBR1,NP_114064,966
NDUFA1,NP_004532,70
NDUFA10,NP_004535,355
NDUFA11,NP_783313,141
NDUFA12,NP_061326,145
NDUFA13,NP_057049,144
NDUFA2,NP_002479,99
NDUFA3,NP_004533,84
NDUFA4,NP_002480,81
NDUFA5,NP_004991,116
NDUFA7,NP_004992,113
NDUFA8,NP_055037,172
NDUFA9,NP_004993,377
NDUFAB1,NP_004994,156
NDUFAF1,NP_057097,327
NDUFAF2,NP_777549,169
NDUFAF3,NP_951032,184
NDUFAF4,NP_054884,175
NDUFAF5,NP_077025,345
NDUFAF6,NP_689629,333
NDUFAF7,NP_653337,441
NDUFAF8,NP_001079990,74
NDUFB10,NP_004539,172
NDUFB11,NP_001129470,153
NDUFB2,NP_004537,105
NDUFB3,NP_002482,98
NDUFB4,NP_004538,129
NDUFB5,NP_002483,189
NDUFB6,NP_002484,128
NDUFB7,NP_004137,137
NDUFB8,NP_004995,186
NDUFB9,NP_004996,179
NDUFC1,NP_001171920,76
NDUFC2,NP_004540,119
NDUFS1,NP_004997,727
NDUFS2,NP_004541,463
NDUFS3,NP_004542,264
NDUFS4,NP_002486,175
NDUFS5,NP_004543,106
NDUFS6,NP_004544,124
NDUFS7,NP_077718,213
NDUFS8,NP_002487,210
NDUFV1,NP_009034,464
NDUFV2,NP_066552,249
NDUFV3,NP_001001503,108
NEU4,NP_001161073,484
NFS1,NP_066923,457
NFU1,NP_001002755,254
NGRN,NP_001028260,291
NIF3L1,NP_001129511,377
NIPSNAP1,NP_003625,284
NIPSNAP2,NP_001474,286
NIPSNAP3A,NP_056284,247
NIPSNAP3B,NP_060846,247
NIT1,NP_005591,327
NIT2,NP_064587,276
NLN,NP_065777,704
NLRX1,NP_001269287,975
NME3,NP_002504,169
NME4,NP_005000,187
NNT,NP_036475,1086
NOA1,NP_115689,698
NOCT,NP_036250,431
NRDC,NP_001095132,1151
NSUN2,NP_060225,767
NSUN3,NP_071355,340
NSUN4,NP_950245,384
NT5DC2,NP_075059,520
NT5DC3,NP_001026871,548
NT5M,NP_064586,228
NTHL1,NP_002519,312
NUBPL,NP_079428,319
NUDT13,NP_056985,352
NUDT19,NP_001099040,375
NUDT2,NP_001152,147
NUDT5,NP_054861,219
NUDT6,NP_009014,316
NUDT8,NP_001230679,236
NUDT9,NP_076952,350
OAT,NP_000265,439
OCIAD1,NP_060300,245
OCIAD2,NP_001014446,154
OGDH,NP_002532,1023
OGDHL,NP_060715,1010
OGG1,NP_002533,345
OMA1,NP_660286,524
OPA1,NP_056375,960
OPA3,NP_079412,179
OSBPL1A,NP_542164,950
OSGEPL1,NP_071748,414
OTC,NP_000522,354
OXCT1,NP_000427,520
OXCT2,NP_071403,517
OXLD1,NP_001034931,147
OXNAD1,NP_612390,312
OXR1,NP_001185461,874
OXSM,NP_060367,459
PABPC5,NP_543022,382
PAICS,NP_001072992,425
PAM16,NP_057153,125
PANK2,NP_705902,570
PARK7,NP_009193,189
PARL,NP_061092,379
PARS2,NP_689481,475
PC,NP_001035806,1178
PCBD2,NP_115527,130
PCCA,NP_000273,728
PCCB,NP_000523,539
PDE12,NP_808881,609
PDE2A,NP_002590,941
PDF,NP_071736,243
PDHA1,NP_000275,390
PDHA2,NP_005381,388
PDHB,NP_000916,359
PDHX,NP_003468,501
PDK1,NP_002601,436
PDK2,NP_002602,407
PDK3,NP_005382,406
PDK4,NP_002603,411
PDP1,NP_060914,537
PDP2,NP_065837,529
PDPR,NP_060460,879
PDSS1,NP_055132,415
PDSS2,NP_065114,399
PET100,NP_001164626,73
PET117,NP_001158283,81
PEX11B,NP_003837,259
PGAM5,NP_001164014,289
PGS1,NP_077733,556
PHB,NP_002625,272
PHB2,NP_001138303,299
PHYH,NP_006205,338
PICK1,NP_036539,415
PIF1,NP_079325,641
PIGBOS1,NP_001295350,54
PINK1,NP_115785,581
PITRM1,NP_055704,1037
PLD6,NP_849158,252
PLGRKT,NP_060935,147
PLPBP,NP_009129,275
PLSCR3,NP_001188505,295
PMAIP1,NP_066950,54
PMPCA,NP_055975,525
PMPCB,NP_004270,489
PNKD,NP_056303,385
PNPLA8,NP_056538,782
PNPO,NP_060599,261
PNPT1,NP_149100,783
POLB,NP_002681,335
POLDIP2,NP_056399,368
POLG,NP_002684,1239
POLG2,NP_009146,485
POLQ,NP_955452,2590
POLRMT,NP_005026,1230
PPA2,NP_789845,334
PPIF,NP_005720,207
PPM1K,NP_689755,372
PPOX,NP_000300,477
PPTC7,NP_644812,304
PRDX2,NP_005800,198
PRDX3,NP_006784,256
PRDX4,NP_006397,271
PRDX6,NP_004896,224
PRELID1,NP_037369,219
PRELID2,NP_892005,189
PRELID3A,NP_001135877,172
PRELID3B,NP_057129,194
PREPL,NP_001165074,727
PRIMPOL,NP_689896,560
PRKACA,NP_002721,351
PRKN,NP_004553,465
PRODH2,NP_067055,536
PRORP,NP_055487,583
PRSS35,NP_699193,413
PRXL2A,NP_001230709,229
PTCD1,NP_056360,700
PTCD2,NP_079030,388
PTCD3,NP_060422,689
PTGES2,NP_079348,377
PTPMT1,NP_783859,201
PTRH1,NP_001002913,214
PTRH2,NP_057161,179
PUS1,NP_079491,427
PUSL1,NP_699170,303
PXMP2,NP_061133,195
PXMP4,NP_009169,212
PYCR1,NP_008838,319
PYCR2,NP_037460,320
PYURF,NP_116295,114
QDPR,NP_000311,244
QRSL1,NP_060762,528
QTRT1,NP_112486,403
RAB24,NP_001026847,203
RAB5IF,NP_001186463,137
RARS2,NP_064716,578
RBFA,NP_079081,343
RDH13,NP_001139443,331
RDH14,NP_065956,336
REXO2,NP_056338,237
RFK,NP_060809,155
RHOT1,NP_060777,618
RHOT2,NP_620124,618
RIDA,NP_005827,137
RMDN1,NP_057117,314
RMDN3,NP_060615,470
RMND1,NP_060379,449
RNASEH1,NP_002927,286
ROMO1,NP_542786,79
RPIA,NP_653164,311
RPUSD3,NP_775930,351
RPUSD4,NP_116184,377
RSAD1,NP_060816,442
RTL10,NP_078903,364
RTN4IP1,NP_116119,396
SAMM50,NP_056195,469
SARDH,NP_001128179,918
SARS2,NP_060297,518
SCO1,NP_004580,301
SCO2,NP_001162580,266
SCP2,NP_002970,547
SDHA,NP_004159,664
SDHAF2,NP_060311,166
SDHAF3,NP_064571,125
SDHAF4,NP_660310,108
SDHB,NP_002991,280
SDHC,NP_002992,169
SDHD,NP_002993,159
SDR39U1,NP_064580,293
SDSL,NP_612441,329
SEPTIN4,NP_004565,478
SERAC1,NP_116250,654
SERHL2,NP_055324,314
SETD9,NP_714917,299
SFXN1,NP_073591,322
SFXN2,NP_849189,322
SFXN4,NP_998814,337
SFXN5,NP_653180,340
SHMT2,NP_005403,504
SIRT3,NP_036371,399
SIRT4,NP_036372,314
SIRT5,NP_036373,310
SLC25A1,NP_005975,311
SLC25A10,NP_036272,287
SLC25A11,NP_003553,314
SLC25A12,NP_003696,678
SLC25A13,NP_055066,675
SLC25A14,NP_001269124,325
SLC25A15,NP_055067,301
SLC25A16,NP_689920,332
SLC25A18,NP_113669,315
SLC25A19,NP_001119594,320
SLC25A20,NP_000378,301
SLC25A21,NP_085134,299
SLC25A22,NP_001177990,323
SLC25A23,NP_077008,468
SLC25A24,NP_037518,477
SLC25A25,NP_443133,469
SLC25A26,NP_775742,274
SLC25A27,NP_004268,323
SLC25A28,NP_112489,364
SLC25A29,NP_001034444,303
SLC25A3,NP_005879,362
SLC25A30,NP_001010875,291
SLC25A31,NP_112581,315
SLC25A32,NP_110407,315
SLC25A33,NP_115691,321
SLC25A34,NP_997231,304
SLC25A36,NP_001098117,311
SLC25A37,NP_057696,338
SLC25A38,NP_060345,304
SLC25A39,NP_001137252,359
SLC25A4,NP_001142,298
SLC25A40,NP_061331,338
SLC25A41,NP_775908,370
SLC25A42,NP_848621,318
SLC25A43,NP_660348,341
SLC25A44,NP_055470,314
SLC25A45,NP_872362,288
SLC25A46,NP_620128,418
SLC25A47,NP_997000,308
SLC25A5,NP_001143,298
SLC25A51,NP_219480,297
SLC25A53,NP_001012773,307
SLC25A6,NP_001627,298
SLC30A9,NP_006336,568
SLC8B1,NP_079235,584
SLIRP,NP_112487,109
SMDT1,NP_201575,107
SMIM20,NP_001138904,67
SMIM8,NP_065158,97
SNAP29,NP_004773,258
SND1,NP_055205,910
SOD1,NP_000445,154
SOD2,NP_001019636,222
SPATA19,NP_777587,167
SPATA20,NP_001245301,786
SPG7,NP_003110,795
SPHK2,NP_064511,654
SPHKAP,NP_001136116,1700
SPIRE1,NP_001122098,756
SPR,NP_003115,261
SPTLC2,NP_004854,562
SQOR,NP_067022,450
SSBP1,NP_001243440,148
STAR,NP_000340,285
STARD7,NP_064536,370
STOM,NP_004090,288
STOML2,NP_038470,356
STX17,NP_060389,302
STYXL1,NP_057170,313
SUCLA2,NP_003841,463
SUCLG1,NP_003840,346
SUCLG2,NP_003839,432
SUGCT,NP_001180242,445
SUOX,NP_000447,545
SUPV3L1,NP_003162,786
SURF1,NP_003163,300
SYNJ2BP,NP_060843,145
TACO1,NP_057444,297
TARS2,NP_079426,718
TAZ,NP_000107,292
TBRG4,NP_004740,631
TCAIM,NP_776187,496
TDRKH,NP_001077434,561
TEFM,NP_078959,360
TFAM,NP_003192,246
TFB1M,NP_057104,346
TFB2M,NP_071761,396
THEM4,NP_444283,240
THG1L,NP_060342,298
THNSL1,NP_079114,743
TIMM10,NP_036588,90
TIMM10B,NP_036324,103
TIMM13,NP_036590,95
TIMM17A,NP_006326,171
TIMM17B,NP_005825,172
TIMM21,NP_054896,248
TIMM22,NP_037469,194
TIMM23,NP_006318,209
TIMM29,NP_612367,260
TIMM44,NP_006342,452
TIMM8A,NP_004076,97
TIMM9,NP_036592,89
TIMMDC1,NP_057673,285
TK2,NP_004605,265
TMEM11,NP_003867,192
TMEM126A,NP_115649,195
TMEM126B,NP_060950,230
TMEM143,NP_060743,459
