Header,GOid,GOterm,Score
NP_001193570,GO:0005758,C:mitochondrial intermembrane space,0.65
NP_001229604,GO:0005759,C:mitochondrial matrix,0.27
NP_001229605,GO:0005759,C:mitochondrial matrix,0.27
NP_001229756,GO:0005759,C:mitochondrial matrix,0.16
NP_001229810,GO:0005743,C:mitochondrial inner membrane,0.14
NP_001242937,GO:0005743,C:mitochondrial inner membrane,0.16
NP_001243460,GO:0005743,C:mitochondrial inner membrane,0.8
NP_001243476,GO:0005743,C:mitochondrial inner membrane,0.78
NP_001244264,GO:0005743,C:mitochondrial inner membrane,0.16
NP_001244945,GO:0005743,C:mitochondrial inner membrane,0.13
NP_001245322,GO:0005759,C:mitochondrial matrix,0.5
NP_001247440,GO:0005741,C:mitochondrial outer membrane,0.53
NP_001257313,GO:0005741,C:mitochondrial outer membrane,0.72
NP_001257659,GO:0005743,C:mitochondrial inner membrane,0.41
NP_001258627,GO:0005743,C:mitochondrial inner membrane,0.86
NP_001258979,GO:0005743,C:mitochondrial inner membrane,0.11
NP_001263994,GO:0005741,C:mitochondrial outer membrane,0.75
NP_001265096,GO:0005759,C:mitochondrial matrix,0.54
NP_001268370,GO:0005759,C:mitochondrial matrix,0.13
NP_001268405,GO:0005741,C:mitochondrial outer membrane,0.1
NP_001268441,GO:0005743,C:mitochondrial inner membrane,0.12
NP_001269844,GO:0005759,C:mitochondrial matrix,0.15
NP_001273113,GO:0005743,C:mitochondrial inner membrane,0.93
NP_001273680,GO:0005743,C:mitochondrial inner membrane,0.16
NP_001275695,GO:0005759,C:mitochondrial matrix,0.37
NP_001275881,GO:0005741,C:mitochondrial outer membrane,0.59
NP_001275897,GO:0005743,C:mitochondrial inner membrane,0.42
NP_001276679,GO:0005741,C:mitochondrial outer membrane,0.46
NP_002480,GO:0005743,C:mitochondrial inner membrane,0.82
NP_002486,GO:0005743,C:mitochondrial inner membrane,0.31
NP_002504,GO:0005759,C:mitochondrial matrix,0.14
NP_002851,GO:0005743,C:mitochondrial inner membrane,0.38
NP_003192,GO:0005743,C:mitochondrial inner membrane,0.21
NP_003347,GO:0005743,C:mitochondrial inner membrane,0.9
NP_003468,GO:0005759,C:mitochondrial matrix,0.94
NP_003840,GO:0005743,C:mitochondrial inner membrane,0.12
NP_004126,GO:0005759,C:mitochondrial matrix,0.16
NP_004367,GO:0005743,C:mitochondrial inner membrane,0.94
NP_004555,GO:0005759,C:mitochondrial matrix,0.73
NP_004996,GO:0005758,C:mitochondrial intermembrane space,0.14
NP_005167,GO:0005743,C:mitochondrial inner membrane,0.92
NP_005521,GO:0005759,C:mitochondrial matrix,0.92
NP_005613,GO:0005743,C:mitochondrial inner membrane,0.49
NP_005685,GO:0005758,C:mitochondrial intermembrane space,0.63
NP_005717,GO:0005759,C:mitochondrial matrix,0.8
NP_006285,GO:0005758,C:mitochondrial intermembrane space,0.2
NP_006318,GO:0005743,C:mitochondrial inner membrane,0.66
NP_006397,GO:0005743,C:mitochondrial inner membrane,0.25
NP_008834,GO:0005759,C:mitochondrial matrix,0.35
NP_009032,GO:0005759,C:mitochondrial matrix,0.19
NP_036277,GO:0005759,C:mitochondrial matrix,0.1
NP_036292,GO:0005741,C:mitochondrial outer membrane,0.41
NP_036324,GO:0005743,C:mitochondrial inner membrane,0.32
NP_036588,GO:0005758,C:mitochondrial intermembrane space,0.5
NP_037542,GO:0005759,C:mitochondrial matrix,0.29
NP_055112,GO:0005759,C:mitochondrial matrix,0.37
NP_055132,GO:0005743,C:mitochondrial inner membrane,0.38
NP_055689,GO:0005741,C:mitochondrial outer membrane,0.7
NP_056499,GO:0005743,C:mitochondrial inner membrane,0.14
NP_057040,GO:0005759,C:mitochondrial matrix,0.58
NP_057117,GO:0005743,C:mitochondrial inner membrane,0.62
NP_057546,GO:0005743,C:mitochondrial inner membrane,0.78
NP_060336,GO:0005743,C:mitochondrial inner membrane,0.88
NP_060592,GO:0005759,C:mitochondrial matrix,0.64
NP_060668,GO:0005741,C:mitochondrial outer membrane,0.54
NP_060680,GO:0005759,C:mitochondrial matrix,0.15
NP_060943,GO:0005741,C:mitochondrial outer membrane,0.35
NP_061331,GO:0005743,C:mitochondrial inner membrane,0.91
NP_065142,GO:0005743,C:mitochondrial inner membrane,0.31
NP_065438,GO:0005743,C:mitochondrial inner membrane,0.16
NP_065837,GO:0005759,C:mitochondrial matrix,0.22
NP_066553,GO:0005759,C:mitochondrial matrix,0.48
NP_068598,GO:0005759,C:mitochondrial matrix,0.51
NP_068602,GO:0005743,C:mitochondrial inner membrane,0.33
NP_071748,GO:0005759,C:mitochondrial matrix,0.22
NP_072094,GO:0005743,C:mitochondrial inner membrane,0.14
NP_078836,GO:0005743,C:mitochondrial inner membrane,0.38
NP_079030,GO:0005743,C:mitochondrial inner membrane,0.28
NP_079140,GO:0005759,C:mitochondrial matrix,0.18
NP_113642,GO:0005759,C:mitochondrial matrix,0.26
NP_114109,GO:0005743,C:mitochondrial inner membrane,0.29
NP_115545,GO:0005741,C:mitochondrial outer membrane,0.35
NP_115685,GO:0005759,C:mitochondrial matrix,0.35
NP_115727,GO:0005743,C:mitochondrial inner membrane,0.25
NP_116012,GO:0005741,C:mitochondrial outer membrane,0.38
NP_116211,GO:0005758,C:mitochondrial intermembrane space,0.44
NP_116246,GO:0005743,C:mitochondrial inner membrane,0.26
NP_116295,GO:0005759,C:mitochondrial matrix,0.69
NP_443195,GO:0005759,C:mitochondrial matrix,0.49
NP_570847,GO:0005743,C:mitochondrial inner membrane,0.15
NP_612815,GO:0005741,C:mitochondrial outer membrane,0.85
NP_619520,GO:0005759,C:mitochondrial matrix,0.3
NP_619533,GO:0005758,C:mitochondrial intermembrane space,0.81
NP_620124,GO:0005741,C:mitochondrial outer membrane,0.65
NP_653305,GO:0005741,C:mitochondrial outer membrane,0.32
NP_653337,GO:0005743,C:mitochondrial inner membrane,0.27
NP_683711,GO:0005743,C:mitochondrial inner membrane,0.26
NP_689482,GO:0005759,C:mitochondrial matrix,0.31
NP_776163,GO:0005759,C:mitochondrial matrix,0.21
NP_777587,GO:0005741,C:mitochondrial outer membrane,0.47
NP_789762,GO:0005743,C:mitochondrial inner membrane,0.14
NP_808817,GO:0005741,C:mitochondrial outer membrane,0.24
NP_852616,GO:0005759,C:mitochondrial matrix,0.31
NP_872282,GO:0005743,C:mitochondrial inner membrane,0.37
NP_872329,GO:0005758,C:mitochondrial intermembrane space,0.36
NP_872578,GO:0005759,C:mitochondrial matrix,0.24
NP_942131,GO:0005759,C:mitochondrial matrix,0.23
NP_996885,GO:0005741,C:mitochondrial outer membrane,0.59
NP_997717,GO:0005758,C:mitochondrial intermembrane space,0.15
YP_003024029,GO:0005743,C:mitochondrial inner membrane,0.88
YP_003024033,GO:0005743,C:mitochondrial inner membrane,0.95
NP_000099,GO:0005743,C:mitochondrial inner membrane,0.16
NP_000182,GO:0005759,C:mitochondrial matrix,0.24
NP_000273,GO:0005759,C:mitochondrial matrix,0.27
NP_000572,GO:0005759,C:mitochondrial matrix,0.27
NP_000773,GO:0005743,C:mitochondrial inner membrane,0.71
NP_001002019,GO:0005759,C:mitochondrial matrix,0.17
NP_001002027,GO:0005743,C:mitochondrial inner membrane,0.93
NP_001014811,GO:0005759,C:mitochondrial matrix,0.2
NP_001014990,GO:0005759,C:mitochondrial matrix,0.25
NP_001017928,GO:0005758,C:mitochondrial intermembrane space,0.42
NP_001026904,GO:0005759,C:mitochondrial matrix,0.52
NP_001028752,GO:0005759,C:mitochondrial matrix,0.33
NP_001035521,GO:0005743,C:mitochondrial inner membrane,0.58
NP_001036182,GO:0005759,C:mitochondrial matrix,0.12
NP_001041639,GO:0005741,C:mitochondrial outer membrane,0.15
NP_001068566,GO:0005759,C:mitochondrial matrix,0.6
NP_001079990,GO:0005758,C:mitochondrial intermembrane space,0.21
NP_001087,GO:0005743,C:mitochondrial inner membrane,0.1
NP_001091992,GO:0005741,C:mitochondrial outer membrane,0.15
NP_001098668,GO:0005743,C:mitochondrial inner membrane,0.74
NP_001119603,GO:0005759,C:mitochondrial matrix,0.34
NP_001123291,GO:0005741,C:mitochondrial outer membrane,0.22
NP_001128634,GO:0005743,C:mitochondrial inner membrane,0.55
NP_001129970,GO:0005759,C:mitochondrial matrix,0.21
NP_001136019,GO:0005759,C:mitochondrial matrix,0.7
NP_001138450,GO:0005743,C:mitochondrial inner membrane,0.44
NP_001139423,GO:0005741,C:mitochondrial outer membrane,0.61
NP_001159579,GO:0005743,C:mitochondrial inner membrane,0.25
NP_001159735,GO:0005759,C:mitochondrial matrix,0.79
NP_001161443,GO:0005759,C:mitochondrial matrix,0.2
NP_001166115,GO:0005743,C:mitochondrial inner membrane,0.34
NP_001171512,GO:0005758,C:mitochondrial intermembrane space,0.29
NP_001173,GO:0005743,C:mitochondrial inner membrane,0.17
NP_001180292,GO:0005741,C:mitochondrial outer membrane,0.67
NP_001180467,GO:0005743,C:mitochondrial inner membrane,0.74
NP_001182,GO:0005741,C:mitochondrial outer membrane,0.61
NP_001182147,GO:0005759,C:mitochondrial matrix,0.26
NP_001182351,GO:0005759,C:mitochondrial matrix,0.4
NP_001185918,GO:0005743,C:mitochondrial inner membrane,0.45
NP_001186778,GO:0005743,C:mitochondrial inner membrane,0.42
NP_001189431,GO:0005759,C:mitochondrial matrix,0.09
NP_001203,GO:0005759,C:mitochondrial matrix,0.5
NP_001229290,GO:0005741,C:mitochondrial outer membrane,0.46
NP_001229437,GO:0005741,C:mitochondrial outer membrane,0.36
NP_001230328,GO:0005758,C:mitochondrial intermembrane space,0.28
NP_001230713,GO:0005741,C:mitochondrial outer membrane,0.23
NP_001231496,GO:0005741,C:mitochondrial outer membrane,0.47
NP_001231812,GO:0005759,C:mitochondrial matrix,0.31
NP_001243607,GO:0005743,C:mitochondrial inner membrane,0.11
NP_001243898,GO:0005743,C:mitochondrial inner membrane,0.55
NP_001244263,GO:0005743,C:mitochondrial inner membrane,0.31
NP_001245318,GO:0005741,C:mitochondrial outer membrane,0.52
NP_001245375,GO:0005758,C:mitochondrial intermembrane space,0.18
NP_001257661,GO:0005741,C:mitochondrial outer membrane,0.18
NP_001257663,GO:0005741,C:mitochondrial outer membrane,0.17
NP_001258692,GO:0005759,C:mitochondrial matrix,0.17
NP_001258863,GO:0005741,C:mitochondrial outer membrane,0.14
NP_001258864,GO:0005741,C:mitochondrial outer membrane,0.13
NP_001265392,GO:0005741,C:mitochondrial outer membrane,0.15
NP_001265645,GO:0005741,C:mitochondrial outer membrane,0.41
NP_001265661,GO:0005759,C:mitochondrial matrix,0.21
NP_001266288,GO:0005743,C:mitochondrial inner membrane,0.16
NP_001268644,GO:0005743,C:mitochondrial inner membrane,0.7
NP_001269072,GO:0005741,C:mitochondrial outer membrane,0.48
NP_001269125,GO:0005743,C:mitochondrial inner membrane,0.98
NP_001269127,GO:0005743,C:mitochondrial inner membrane,0.97
NP_001269917,GO:0005759,C:mitochondrial matrix,0.31
NP_001269944,GO:0005743,C:mitochondrial inner membrane,0.19
NP_001271263,GO:0005741,C:mitochondrial outer membrane,0.29
NP_001271296,GO:0005743,C:mitochondrial inner membrane,0.42
NP_001273428,GO:0005743,C:mitochondrial inner membrane,0.14
NP_001273572,GO:0005759,C:mitochondrial matrix,0.17
NP_001273640,GO:0005743,C:mitochondrial inner membrane,0.58
NP_001273702,GO:0005743,C:mitochondrial inner membrane,0.36
NP_001273961,GO:0005741,C:mitochondrial outer membrane,0.22
NP_001274178,GO:0005741,C:mitochondrial outer membrane,0.53
NP_001275888,GO:0005743,C:mitochondrial inner membrane,0.68
NP_001350,GO:0005743,C:mitochondrial inner membrane,0.32
NP_001677,GO:0005743,C:mitochondrial inner membrane,0.52
NP_001856,GO:0005741,C:mitochondrial outer membrane,0.51
NP_001995,GO:0005743,C:mitochondrial inner membrane,0.45
NP_002147,GO:0005759,C:mitochondrial matrix,0.92
NP_002484,GO:0005741,C:mitochondrial outer membrane,0.33
NP_002602,GO:0005759,C:mitochondrial matrix,0.9
NP_002625,GO:0005743,C:mitochondrial inner membrane,0.7
NP_002681,GO:0005758,C:mitochondrial intermembrane space,0.13
NP_002940,GO:0005759,C:mitochondrial matrix,0.7
NP_003346,GO:0005743,C:mitochondrial inner membrane,0.81
NP_003353,GO:0005759,C:mitochondrial matrix,0.64
NP_003767,GO:0005759,C:mitochondrial matrix,0.34
NP_004076,GO:0005758,C:mitochondrial intermembrane space,0.77
NP_004366,GO:0005743,C:mitochondrial inner membrane,0.7
NP_004535,GO:0005759,C:mitochondrial matrix,0.17
NP_004565,GO:0005758,C:mitochondrial intermembrane space,0.13
NP_004709,GO:0005743,C:mitochondrial inner membrane,0.41
NP_004948,GO:0005743,C:mitochondrial inner membrane,0.12
NP_005098,GO:0005743,C:mitochondrial inner membrane,0.63
NP_005129,GO:0005743,C:mitochondrial inner membrane,0.88
NP_005519,GO:0005743,C:mitochondrial inner membrane,0.44
NP_005720,GO:0005759,C:mitochondrial matrix,0.69
NP_006821,GO:0005743,C:mitochondrial inner membrane,0.75
NP_008830,GO:0005759,C:mitochondrial matrix,0.93
NP_036221,GO:0005743,C:mitochondrial inner membrane,0.92
NP_036335,GO:0005759,C:mitochondrial matrix,0.13
NP_036359,GO:0005759,C:mitochondrial matrix,0.33
NP_036360,GO:0005759,C:mitochondrial matrix,0.85
NP_054643,GO:0005759,C:mitochondrial matrix,0.3
NP_054737,GO:0005759,C:mitochondrial matrix,0.23
NP_055899,GO:0005743,C:mitochondrial inner membrane,0.41
NP_056230,GO:0005743,C:mitochondrial inner membrane,0.8
NP_056325,GO:0005743,C:mitochondrial inner membrane,0.87
NP_056538,GO:0005743,C:mitochondrial inner membrane,0.16
NP_057013,GO:0005743,C:mitochondrial inner membrane,0.23
NP_057139,GO:0005759,C:mitochondrial matrix,0.15
NP_057151,GO:0005759,C:mitochondrial matrix,0.17
NP_057154,GO:0005758,C:mitochondrial intermembrane space,0.19
NP_057581,GO:0005759,C:mitochondrial matrix,0.13
NP_060370,GO:0005743,C:mitochondrial inner membrane,0.47
NP_060389,GO:0005741,C:mitochondrial outer membrane,0.19
NP_060579,GO:0005743,C:mitochondrial inner membrane,0.16
NP_060615,GO:0005743,C:mitochondrial inner membrane,0.41
NP_060658,GO:0005759,C:mitochondrial matrix,0.23
NP_060867,GO:0005743,C:mitochondrial inner membrane,0.35
NP_061820,GO:0005758,C:mitochondrial intermembrane space,0.85
NP_061932,GO:0005741,C:mitochondrial outer membrane,0.42
NP_064587,GO:0005743,C:mitochondrial inner membrane,0.12
NP_065713,GO:0005743,C:mitochondrial inner membrane,0.86
NP_068593,GO:0005759,C:mitochondrial matrix,0.31
NP_075066,GO:0005743,C:mitochondrial inner membrane,0.32
NP_078959,GO:0005743,C:mitochondrial inner membrane,0.12
NP_078986,GO:0005741,C:mitochondrial outer membrane,0.13
NP_079152,GO:0005743,C:mitochondrial inner membrane,0.28
NP_112162,GO:0005759,C:mitochondrial matrix,0.7
NP_112233,GO:0005743,C:mitochondrial inner membrane,0.68
NP_112570,GO:0005759,C:mitochondrial matrix,0.55
NP_115550,GO:0005741,C:mitochondrial outer membrane,0.69
NP_115990,GO:0005759,C:mitochondrial matrix,0.17
NP_116250,GO:0005743,C:mitochondrial inner membrane,0.19
NP_203527,GO:0005759,C:mitochondrial matrix,0.45
NP_212133,GO:0005741,C:mitochondrial outer membrane,0.75
NP_443077,GO:0005759,C:mitochondrial matrix,0.15
NP_510870,GO:0005743,C:mitochondrial inner membrane,0.93
NP_542380,GO:0005741,C:mitochondrial outer membrane,0.42
NP_550440,GO:0005743,C:mitochondrial inner membrane,0.45
NP_570844,GO:0005759,C:mitochondrial matrix,0.14
NP_573566,GO:0005759,C:mitochondrial matrix,0.65
NP_612638,GO:0005759,C:mitochondrial matrix,0.15
