Header,GeneID,Gene,Prediction,OTHER,SP,mTP,CS Position,CS,Prob
NP_116145,84842,HPDL,OTHER,0.521465,0.006295,0.47224,,,
NP_1041639,4595,MUTYH,OTHER,0.999803,0.000008,0.000189,,,
NP_1041636,4595,MUTYH,OTHER,0.614932,0.000454,0.384614,,,
NP_1041637,4595,MUTYH,OTHER,0.999849,0.000007,0.000144,,,
NP_5995,7388,UQCRH,mTP,0.449607,0.000107,0.550285,CS pos: 13-14. TES-GD. Pr: 0.4153,13,0.4153
NP_1243056,387338,NSUN4,OTHER,0.999118,0.000541,0.000341,,,
NP_950245,387338,NSUN4,OTHER,0.528998,0.000176,0.470826,,,
NP_1243057,387338,NSUN4,OTHER,0.999118,0.000541,0.000341,,,
NP_73582,64756,ATPAF1,OTHER,0.999941,0.000046,0.000013,,,
NP_1243347,64756,ATPAF1,OTHER,0.999751,0.000215,0.000034,,,
NP_1036011,64756,ATPAF1,OTHER,0.999941,0.000046,0.000013,,,
NP_1230657,64756,ATPAF1,OTHER,0.999926,0.000038,0.000035,,,
NP_75565,65260,COA7,OTHER,0.998113,0.001828,0.000058,,,
NP_60751,55268,ECHDC2,mTP,0.041428,0.001163,0.957409,CS pos: 19-20. RGC-AS. Pr: 0.7101,19,0.7101
NP_1185891,55268,ECHDC2,mTP,0.041428,0.001163,0.957409,CS pos: 19-20. RGC-AS. Pr: 0.7101,19,0.7101
NP_1185890,55268,ECHDC2,mTP,0.03131,0.001045,0.967645,CS pos: 19-20. RGC-AS. Pr: 0.7101,19,0.7101
NP_1007099,6342,SCP2,OTHER,0.984462,0.012034,0.003503,,,
NP_1007100,6342,SCP2,OTHER,0.997631,0.00045,0.001918,,,
NP_1007251,6342,SCP2,OTHER,0.98704,0.005307,0.007653,,,
NP_1007101,6342,SCP2,OTHER,0.999336,0.000152,0.000512,,,
NP_89,1376,CPT2,mTP,0.122051,0.000928,0.877021,CS pos: 45-46. MHY-QD. Pr: 0.3247,45,0.3247
NP_57575,51253,MRPL37,mTP,0.032131,0.000408,0.967462,CS pos: 29-30. RRG-AY. Pr: 0.4082,29,0.4082
NP_689481,25973,PARS2,OTHER,0.530429,0.002542,0.467029,,,
NP_1880,1429,CRYZ,OTHER,0.988086,0.000757,0.011157,,,
NP_1123515,1429,CRYZ,OTHER,0.988086,0.000757,0.011157,,,
NP_1123514,1429,CRYZ,OTHER,0.988086,0.000757,0.011157,,,
NP_1128231,1429,CRYZ,OTHER,0.790713,0.016491,0.192796,,,
NP_1120800,34,ACADM,mTP,0.311346,0.000118,0.688537,CS pos: 25-26. HWR-SQ. Pr: 0.1325,25,0.1325
NP_7,34,ACADM,mTP,0.391347,0.00006,0.608593,CS pos: 21-22. HWR-SQ. Pr: 0.1147,21,0.1147
NP_1272973,34,ACADM,OTHER,0.97995,0.007552,0.012498,,,
NP_1272971,34,ACADM,OTHER,0.998692,0.000557,0.000751,,,
NP_1272972,34,ACADM,OTHER,0.601469,0.000123,0.398407,,,
NP_1008662,56267,KYAT3,OTHER,0.999688,0.000084,0.000229,,,
NP_1008661,56267,KYAT3,mTP,0.004526,0.000036,0.995439,CS pos: 29-30. LGF-ST. Pr: 0.3669,29,0.3669
NP_37518,29957,SLC25A24,OTHER,0.920937,0.0088,0.070263,,,
NP_998816,29957,SLC25A24,OTHER,0.99999,0.000008,0.000002,,,
NP_1229603,10768,AHCYL1,OTHER,0.998754,0.000018,0.001227,,,
NP_6612,10768,AHCYL1,OTHER,0.999999,0.000001,0,,,
NP_1229604,10768,AHCYL1,OTHER,0.998754,0.000018,0.001227,,,
NP_1229602,10768,AHCYL1,OTHER,0.998754,0.000018,0.001227,,,
NP_1229605,10768,AHCYL1,OTHER,0.998754,0.000018,0.001227,,,
NP_1679,515,ATP5PB,mTP,0.003649,0.00212,0.994231,CS pos: 34-35. RTF-HT. Pr: 0.3939,34,0.3939
NP_1159579,3158,HMGCS2,mTP,0.008615,0.00003,0.991354,CS pos: 36-37. QRF-ST. Pr: 0.8268,36,0.8268
NP_5509,3158,HMGCS2,mTP,0.007579,0.000032,0.992389,CS pos: 36-37. QRF-ST. Pr: 0.8269,36,0.8269
NP_3837,8799,PEX11B,OTHER,0.963597,0.00222,0.034183,,,
NP_1171724,8799,PEX11B,OTHER,0.890475,0.036965,0.07256,,,
NP_57445,51205,ACP6,mTP,0.186527,0.177847,0.635626,CS pos: 32-33. ALA-EL. Pr: 0.2991,32,0.2991
NP_57158,51027,BOLA1,mTP,0.025304,0.424346,0.55035,CS pos: 21-22. LCQ-GS. Pr: 0.2036,21,0.2036
NP_61870,54460,MRPS21,OTHER,0.99139,0.004447,0.004164,,,
NP_114107,54460,MRPS21,OTHER,0.99139,0.004447,0.004164,,,
NP_1184249,4170,MCL1,mTP,0.341688,0.003637,0.654675,CS pos: 36-37. RLL-AT. Pr: 0.6573,36,0.6573
NP_68779,4170,MCL1,OTHER,0.866245,0.011186,0.122568,,,
NP_877495,4170,MCL1,OTHER,0.866245,0.011186,0.122568,,,
NP_1077434,11022,TDRKH,OTHER,0.946643,0.014521,0.038836,,,
NP_1077433,11022,TDRKH,OTHER,0.969631,0.008926,0.021444,,,
NP_1077432,11022,TDRKH,OTHER,0.946643,0.014521,0.038836,,,
NP_6853,11022,TDRKH,OTHER,0.946643,0.014521,0.038836,,,
NP_113608,65005,MRPL9,mTP,0.316502,0.000349,0.683149,CS pos: 52-53. NRG-TV. Pr: 0.1986,52,0.1986
NP_444283,117145,THEM4,mTP,0.022003,0.0236,0.954396,CS pos: 36-37. RSF-SS. Pr: 0.5432,36,0.5432
NP_872384,284486,THEM5,mTP,0.029275,0.000319,0.970406,CS pos: 34-35. SAF-GS. Pr: 0.6929,34,0.6929
NP_79483,80308,FLAD1,OTHER,0.990921,0.002028,0.007052,,,
NP_1171820,80308,FLAD1,OTHER,0.999069,0.000512,0.000419,,,
NP_1171821,80308,FLAD1,OTHER,0.999626,0.000129,0.000245,,,
NP_958800,80308,FLAD1,OTHER,0.999069,0.000512,0.000419,,,
NP_2446,4580,MTX1,OTHER,0.999735,0.000024,0.000241,,,
NP_942584,4580,MTX1,OTHER,0.999735,0.000024,0.000241,,,
NP_1129294,2224,FDPS,OTHER,0.999979,0.000012,0.000009,,,
NP_1229753,2224,FDPS,OTHER,0.999979,0.000012,0.000009,,,
NP_1995,2224,FDPS,mTP,0.392758,0.159889,0.447353,CS pos: 50-51. RCW-CQ. Pr: 0.3824,50,0.3824
NP_1129293,2224,FDPS,mTP,0.392758,0.159889,0.447353,CS pos: 50-51. RCW-CQ. Pr: 0.3824,50,0.3824
NP_1229754,2224,FDPS,OTHER,0.999745,0.000147,0.000108,,,
NP_4623,7818,DAP3,mTP,0.103197,0.00003,0.896773,CS pos: 30-31. ARQ-SI. Pr: 0.5455,30,0.5455
NP_1186780,7818,DAP3,OTHER,0.895277,0.000536,0.104187,,,
NP_1186778,7818,DAP3,mTP,0.103197,0.00003,0.896773,CS pos: 30-31. ARQ-SI. Pr: 0.5455,30,0.5455
NP_387506,7818,DAP3,mTP,0.103197,0.00003,0.896773,CS pos: 30-31. ARQ-SI. Pr: 0.5455,30,0.5455
NP_1186779,7818,DAP3,mTP,0.060896,0.000024,0.93908,CS pos: 30-31. ARQ-SI. Pr: 0.5617,30,0.5617
NP_55470,9673,SLC25A44,OTHER,0.996237,0.000049,0.003714,,,
NP_1273113,9673,SLC25A44,OTHER,0.996237,0.000049,0.003714,,,
NP_658985,128240,NAXE,SP,0.040677,0.866676,0.092647,CS pos: 24-25. IKS-QT. Pr: 0.8273,24,0.8273
NP_78816,79590,MRPL24,mTP,0.094169,0.09792,0.807911,CS pos: 9-10. LAL-AS. Pr: 0.3596,9,0.3596
NP_663781,79590,MRPL24,mTP,0.094169,0.09792,0.807911,CS pos: 9-10. LAL-AS. Pr: 0.3596,9,0.3596
NP_1106678,100131187,TSTD1,OTHER,0.840247,0.006234,0.153518,,,
NP_1106677,100131187,TSTD1,OTHER,0.921477,0.070574,0.007949,,,
NP_1106676,100131187,TSTD1,OTHER,0.828526,0.007404,0.16407,,,
NP_1172021,4817,NIT1,mTP,0.176114,0.173865,0.65002,CS pos: 53-54. VCQ-VT. Pr: 0.3088,53,0.3088
NP_1172023,4817,NIT1,OTHER,0.991373,0.008415,0.000212,,,
NP_1172022,4817,NIT1,OTHER,0.849712,0.011513,0.138775,,,
NP_300,5498,PPOX,OTHER,0.570691,0.291859,0.137451,,,
NP_5591,4817,NIT1,mTP,0.176114,0.173865,0.65002,CS pos: 53-54. VCQ-VT. Pr: 0.3088,53,0.3088
NP_1159631,4720,NDUFS2,mTP,0.002613,0.000216,0.997171,CS pos: 33-34. SRG-VR. Pr: 0.6219,33,0.6219
NP_4541,4720,NDUFS2,mTP,0.002613,0.000216,0.997171,CS pos: 33-34. SRG-VR. Pr: 0.6219,33,0.6219
NP_115550,84134,TOMM40L,OTHER,0.997804,0.001424,0.000772,,,
NP_1273303,84134,TOMM40L,OTHER,0.996788,0.002217,0.000995,,,
NP_1273302,84134,TOMM40L,OTHER,0.996576,0.002518,0.000906,,,
NP_1116236,5498,PPOX,OTHER,0.570691,0.291859,0.137451,,,
NP_2992,6391,SDHC,mTP,0.005463,0.000049,0.994488,CS pos: 26-27. IRN-AV. Pr: 0.4316,26,0.4316
NP_1030588,6391,SDHC,mTP,0.007836,0.000351,0.991814,CS pos: 26-27. IRN-AV. Pr: 0.3816,26,0.3816
NP_1265101,6391,SDHC,mTP,0.005275,0.000205,0.99452,CS pos: 39-40. HRG-TG. Pr: 0.2575,39,0.2575
NP_1030590,6391,SDHC,mTP,0.321379,0.274573,0.404048,CS pos: 32-33. SLF-GM. Pr: 0.2562,32,0.2562
NP_1030589,6391,SDHC,mTP,0.115222,0.000057,0.884721,CS pos: 26-27. IRN-WS. Pr: 0.1313,26,0.1313
NP_687,223,ALDH9A1,mTP,0.008857,0.013382,0.977761,CS pos: 25-26. AAM-ST. Pr: 0.4077,25,0.4077
NP_4519,4259,MGST3,OTHER,0.850775,0.125762,0.023463,,,
NP_60887,55811,ADCY10,OTHER,0.99987,0.000089,0.000041,,,
NP_1161221,55811,ADCY10,OTHER,0.998823,0.001049,0.000127,,,
NP_4896,9588,PRDX6,OTHER,0.99953,0.000228,0.000242,,,
NP_71383,63931,MRPS14,mTP,0.226642,0.000599,0.772759,CS pos: 27-28. VRS-HY. Pr: 0.1918,27,0.1918
NP_6326,10440,TIMM17A,OTHER,0.999572,0.000349,0.000079,,,
NP_653168,90806,ANGEL2,OTHER,0.981148,0.000115,0.018736,,,
NP_620149,127018,LYPLAL1,OTHER,0.771474,0.002157,0.226368,,,
NP_60530,55699,IARS2,mTP,0.177963,0.004026,0.818011,CS pos: 44-45. VRS-VS. Pr: 0.2373,44,0.2373
NP_60368,54996,MTARC2,OTHER,0.551394,0.207909,0.240698,,,
NP_37460,29920,PYCR2,mTP,0.341301,0.045369,0.61333,CS pos: 26-27. ILS-AH. Pr: 0.1647,26,0.1647
NP_1258610,29920,PYCR2,mTP,0.429256,0.051344,0.519401,CS pos: 26-27. ILS-AH. Pr: 0.1652,26,0.1652
NP_852121,128308,MRPL55,mTP,0.046891,0.000004,0.953105,CS pos: 32-33. SWR-AD. Pr: 0.2673,32,0.2673
NP_852120,128308,MRPL55,mTP,0.046891,0.000004,0.953105,CS pos: 32-33. SWR-AD. Pr: 0.2673,32,0.2673
NP_852119,128308,MRPL55,mTP,0.046891,0.000004,0.953105,CS pos: 32-33. SWR-AD. Pr: 0.2673,32,0.2673
NP_852106,128308,MRPL55,mTP,0.046891,0.000004,0.953105,CS pos: 32-33. SWR-AD. Pr: 0.2673,32,0.2673
NP_852129,128308,MRPL55,mTP,0.046891,0.000004,0.953105,CS pos: 32-33. SWR-AD. Pr: 0.2673,32,0.2673
NP_852130,128308,MRPL55,mTP,0.046891,0.000004,0.953105,CS pos: 32-33. SWR-AD. Pr: 0.2673,32,0.2673
NP_852128,128308,MRPL55,mTP,0.046891,0.000004,0.953105,CS pos: 32-33. SWR-AD. Pr: 0.2673,32,0.2673
NP_852127,128308,MRPL55,mTP,0.304516,0.219231,0.476252,CS pos: 68-69. SWR-AD. Pr: 0.1723,68,0.1723
NP_1229768,2987,GUK1,OTHER,0.95977,0.000439,0.039791,,,
NP_1152863,2987,GUK1,OTHER,0.95977,0.000439,0.039791,,,
NP_849,2987,GUK1,OTHER,0.95977,0.000439,0.039791,,,
NP_1152862,2987,GUK1,mTP,0.111224,0.192032,0.696744,CS pos: 55-56. FGF-SV. Pr: 0.2292,55,0.2292
NP_1229769,2987,GUK1,mTP,0.258111,0.219598,0.52229,CS pos: 55-56. FGF-SV. Pr: 0.2294,55,0.2294
NP_1010867,200205,IBA57,mTP,0.132402,0.001978,0.865619,CS pos: 31-32. CRL-AH. Pr: 0.4382,31,0.4382
NP_36221,23456,ABCB10,OTHER,0.784993,0.007991,0.207016,,,
NP_1193570,388753,COA6,OTHER,0.995896,0.000766,0.003338,,,
NP_1013003,388753,COA6,OTHER,0.640102,0.25845,0.101448,,,
NP_134,2271,FH,mTP,0.005256,0.003485,0.991258,CS pos: 44-45. ARM-AS. Pr: 0.5576,44,0.5576
NP_932342,116228,COX20,OTHER,0.999848,0.000133,0.000019,,,
NP_71761,64216,TFB2M,mTP,0.139001,0.004986,0.856013,CS pos: 43-44. HCG-LS. Pr: 0.2636,43,0.2636
NP_56303,25953,PNKD,mTP,0.06516,0.000071,0.934769,CS pos: 41-42. RAL-QS. Pr: 0.2913,41,0.2913
NP_1268441,3032,HADHB,mTP,0.276552,0.001062,0.722386,CS pos: 33-34. QLR-AA. Pr: 0.3346,33,0.3346
NP_174,3032,HADHB,mTP,0.28017,0.001489,0.718341,CS pos: 33-34. QLR-AA. Pr: 0.3384,33,0.3384
NP_1268442,3032,HADHB,SP,0.250102,0.730529,0.019369,CS pos: 20-21. TKT-KK. Pr: 0.3203,20,0.3203
NP_1165074,9581,PREPL,OTHER,0.866705,0.004471,0.128823,,,
NP_6027,9581,PREPL,OTHER,0.866705,0.004471,0.128823,,,
NP_1035845,9581,PREPL,OTHER,0.866705,0.004471,0.128823,,,
NP_1165088,9581,PREPL,OTHER,0.999949,0.000008,0.000042,,,
NP_573566,10128,LRPPRC,mTP,0.004435,0.000009,0.995556,CS pos: 59-60. RLY-AI. Pr: 0.8473,59,0.8473
NP_1035844,9581,PREPL,OTHER,0.866705,0.004471,0.128823,,,
NP_1165084,9581,PREPL,OTHER,0.999949,0.000008,0.000042,,,
NP_1165077,9581,PREPL,OTHER,0.866705,0.004471,0.128823,,,
NP_653180,94097,SFXN5,OTHER,0.998484,0.001302,0.000214,,,
NP_3840,8802,SUCLG1,mTP,0.214061,0.00131,0.784629,CS pos: 49-50. RQH-LY. Pr: 0.2564,49,0.2564
NP_1093640,10989,IMMT,mTP,0.002291,0.00003,0.997679,CS pos: 33-34. RRY-ST. Pr: 0.8955,33,0.8955
NP_6830,10989,IMMT,mTP,0.001561,0.000028,0.998411,CS pos: 33-34. RRY-ST. Pr: 0.8955,33,0.8955
NP_1093639,10989,IMMT,mTP,0.001513,0.000027,0.99846,CS pos: 33-34. RRY-ST. Pr: 0.8955,33,0.8955
NP_653164,22934,RPIA,OTHER,0.963278,0.006026,0.030696,,,
NP_57128,51011,FAHD2A,mTP,0.322282,0.020372,0.657345,CS pos: 15-16. LLQ-AQ. Pr: 0.2645,15,0.2645
NP_64536,56910,STARD7,mTP,0.254008,0.018171,0.727821,CS pos: 37-38. VRR-AQ. Pr: 0.1795,37,0.1795
NP_1008216,493753,COA5,OTHER,0.992911,0.006561,0.000528,,,
NP_1076581,2820,GPD2,OTHER,0.511573,0.010732,0.477695,,,
NP_399,2820,GPD2,OTHER,0.511573,0.010732,0.477695,,,
NP_78898,79675,FASTKD1,OTHER,0.832454,0.014887,0.152659,,,
NP_1268405,79675,FASTKD1,OTHER,0.832454,0.014887,0.152659,,,
NP_79046,79828,METTL8,mTP,0.483442,0.000101,0.516458,CS pos: 21-22. HRY-QS. Pr: 0.5624,21,0.5624
NP_954697,254042,METAP1D,mTP,0.483603,0.000105,0.516291,CS pos: 60-61. VSS-AH. Pr: 0.0893,60,0.0893
NP_55720,2744,GLS,mTP,0.368706,0.000332,0.630962,CS pos: 72-73. RGL-SS. Pr: 0.4008,72,0.4008
NP_55177,26275,HIBCH,OTHER,0.500172,0.000098,0.49973,,,
NP_1243239,2744,GLS,mTP,0.368706,0.000332,0.630962,CS pos: 72-73. RGL-SS. Pr: 0.4008,72,0.4008
NP_932164,26275,HIBCH,OTHER,0.500172,0.000098,0.49973,,,
NP_203522,841,CASP8,OTHER,0.999991,0.000002,0.000007,,,
NP_1219,841,CASP8,OTHER,0.999973,0.000003,0.000024,,,
NP_203519,841,CASP8,OTHER,0.999992,0.000001,0.000007,,,
NP_1073593,841,CASP8,OTHER,0.999984,0.000003,0.000013,,,
NP_1116105,1373,CPS1,mTP,0.312242,0.000716,0.687042,CS pos: 45-46. RLL-SV. Pr: 0.2608,45,0.2608
NP_775,1593,CYP27A1,mTP,0.006051,0.000172,0.993776,CS pos: 28-29. RAK-AA. Pr: 0.3076,28,0.3076
NP_1263991,56947,MFF,OTHER,0.999943,0.000013,0.000043,,,
NP_1263996,56947,MFF,OTHER,0.999949,0.000009,0.000042,,,
NP_64579,56947,MFF,OTHER,0.999148,0.000175,0.000676,,,
NP_1263994,56947,MFF,OTHER,0.999963,0.00001,0.000027,,,
NP_1263993,56947,MFF,OTHER,0.999967,0.000013,0.00002,,,
NP_1263992,56947,MFF,OTHER,0.999954,0.000016,0.00003,,,
NP_1263990,56947,MFF,OTHER,0.999148,0.000175,0.000676,,,
NP_1263995,56947,MFF,OTHER,0.999963,0.00001,0.000027,,,
NP_1263997,56947,MFF,OTHER,0.99997,0.000012,0.000017,,,
NP_1136116,80309,SPHKAP,OTHER,0.99967,0.000321,0.000009,,,
NP_85126,80309,SPHKAP,OTHER,0.99967,0.000321,0.000009,,,
NP_4535,4705,NDUFA10,mTP,0.083304,0.023236,0.89346,CS pos: 35-36. QCK-LR. Pr: 0.3958,35,0.3958
